real_data
7.5
2.9
0.8
2.4
3.1
2.1
22.0
20.6
41.5
26.2
23.0
24.0
58.6
22.1
2.0
1.2
1.3
17.7
1.3
31.6
60.7
21.9
31.1
1.9
38.3
55.2
43.9
2.8
3.8
31.5
29.9
4.3
39.1
0.0
1.0
61.2
33.5
33.9
31.3
0.1
1.0
1.1
9.0
3.4
22.4
21.8
29.4
0.0
0.0
0.2
1.3
7.6
2.4
2.5
51.3
22.7
42.6
50.4
22.9
7.4
2.5
42.0
21.3
20.3
1.9
8.5
18.6
3.9
1.2
3.1
20.1
24.1
25.3
31.6
35.1
31.8
28.1
8.9
1.2
18.2
17.1
40.0
8.2
21.0
42.7
1.7
20.8
43.8
61.6
39.3
49.3
25.5
27.2
5.7
1.8
19.8
11.1
17.4
2.1
3.4
20.7
61.3
29.4
22.9
21.9
30.0
29.3
30.1
16.7
20.7
23.2
21.1
2.2
25.1
35.6
49.6
55.9
24.6
2.9
11.8
9.9
5.2
6.2
1.2
36.0
38.9
5.4
26.1
26.1
30.3
51.7
7.7
45.2
21.2
27.8
3.6
2.8
2.9
2.2
1.0
5.6
5.2
3.9
4.2
1.4
42.0
29.3
31.2
30.4
24.0
25.7
3.9
20.1
5.4
3.5
5.9
31.5
26.0
26.2
21.6
26.1
3.9
23.7
38.9
33.9
27.8
2.1
1.2
4.9
24.7
30.7
28.9
29.9
39.7
2.9
3.0
5.6
6.5
4.7
17.4
25.3
31.0
26.4
22.3
20.9
0.0
23.0
22.4
54.4
0.0
57.8
0.0
4.8
0.3
1.3
3.7
4.3
18.1
18.5
7.6
24.6
37.0
25.9
0.1
27.9
36.2
25.5
3.4
10.4
10.7
7.8
0.0
18.9
10.2
2.4
2.8
1.5
4.2
3.0
8.3
4.8
1.2
14.2
1.6
34.2
36.9
32.0
3.1
2.0
1.3
10.3
2.1
3.0
12.4
71.6
41.3
6.3
4.4
2.6
1.3
3.2
2.7
4.8
3.4
3.5
12.1
2.8
31.1
5.5
22.1
22.0
34.0
21.3
21.3
1.4
1.9
39.0
10.1
6.3
2.9
12.7
33.4
8.6
4.4
1.6
1.3
3.0
11.2
3.3
3.2
7.0
0.0
1.3
5.3
2.4
3.3
2.5
1.8
0.3
0.3
0.0
1.4
1.1
1.0
4.9
5.8
1.6
3.8
7.3
2.7
0.3
2.3
2.6
2.5
24.5
21.5
7.7
3.4
2.9
0.0
3.6
0.0
26.0
26.0
22.7
6.5
18.6
6.8
5.6
21.3
3.8
2.5
23.6
27.0
11.2
3.5
1.5
2.0
9.8
4.3
13.1
14.8
1.2
1.6
1.4
1.0
21.0
24.9
0.0
0.0
1.1
5.7
6.5
3.8
1.6
1.0
7.2
1.4
1.9
2.4
2.2
2.7
21.9
6.5
33.7
26.8
38.9
35.2
37.1
67.8
2.9
19.2
69.2
39.7
4.9
67.0
27.9
25.4
40.2
37.7
28.1
57.2
42.3
2.6
1.7
20.8
20.6
20.5
48.6
1.7
32.2
30.9
25.5
24.0
35.1
35.6
42.1
51.4
29.3
2.3
8.6
8.6
4.0
5.4
6.2
41.0
29.4
26.5
21.3
30.0
2.0
17.1
2.4
16.9
13.9
6.5
